! Bruls (1992)
! lambda[nm]         Hmin    scattering      metal_bf
     100.000         1.00          1.00          1.00
     152.499         1.00          1.00          1.00
     152.500         1.00          1.00          2.00
     168.200         1.00          1.00          2.00
     168.201         1.00          1.00          21.0
     185.000         1.00          1.00          11.0
     185.001         1.00          1.00          2.30
     198.600         1.00          1.00          2.00
     198.601         1.00          1.00          2.50
     210.615         1.00          1.00          2.00
     210.616         7.50          7.50          1.00
     230.000         3.50          3.50          1.00
     251.500         2.60          2.60          1.00
     251.501         5.50          5.50          1.00
     265.000         5.00          5.00          1.00
     265.001         2.50          2.50          1.00
     300.000         1.45          1.45          1.00
     320.000         1.45          1.45          1.00
     370.000         1.35          1.35          1.00
     420.000         1.00          1.00          1.00
     500.000         1.00          1.00          1.00
     600.000         1.00          1.00          1.00
    1000.000         1.00          1.00          1.00
